UserName,Reviews,Rating,Date
H Kim,"World's Largest White Marble Structure - Very hot during summer visit. Be prepared to sweat when you enter here. And don't buy anything with white marble statues - they are overpriced.. DO NOT buy the white marbles gift as they are X100 times expensive. It is tempting, but it is useless.", 5 stars ,a week ago
Kaavish Lekchumanan,"Really a beautiful and mesmerizing place to spend your time with your loved ones. Every inch tells you one beautiful, technical n marvellous story. You should recruit a guide or do a proper research then enter to feel the efforts and brain …", 5 stars ,a month ago
Sree Hari,"One of the most beautiful place I have ever seen in my life. Its a place peaceful place i have seen in my life. I visited the place during our college tour. 
Its a monument of true love. Also its architectural details are amazing. 
Probably …", 5 stars ,3 weeks ago
Nikhil Jadon,It was amazing and awesome Experience. I visited this place and now I revisited the memorial of love along with my better behalf. I am proud because of one of the seven wonder of the world in my Country India come back with lots of …, 5 stars ,2 months ago
Nagen kumar Sarangi,"One of the most popular place all over the world....great infrastructure....but nowadays due to pollution the marbles are losing their shine....

Visited here in 2011....was an memorable experience...", 5 stars ,3 days ago
Indraprasad Suvedi,What to say... Its one of the seven wonders of the world. Dont expect modern hi-tech thinks here. As medial architecture... Its cool and lovely. ❤️❤️, 4 stars ,2 weeks ago
Dixant Vaidya,"Absolutely stunning !! Wonder of the world , as it came into view for the first time through the entrance, my breath was taken away. Really breath taking and mesmerizing place to spend your time with your family or with your friends. The …", 5 stars ,a month ago
Noman Ejaz,This is the place which reminds you of love of a royal couple. Love birds should visit this place. I highly recommend them to come here and enjoy the beauty of ancient monument, 5 stars ,2 weeks ago
Asif Mohammad,World's most beautiful wonder. This is one of the best place in the world, 5 stars ,3 days ago
Manvinder Singh Walia,Beautiful as ever. Try to reach the place by 7am. Less crowd then. It's open from sunrise to sunset. There are golf carts to get you from the outer gates to the main compund (10 rupees charge). Entry system is computerized in the sense that …, 5 stars ,a week ago
Alex Kapila,"Taj is a on of the best examples of the fascinating Islamic architechture in India. It's a really great place to visit and one can be easily fascinated by its beauty. 
It's feels very calm there and you can see the foreign tourists roaming …", 5 stars ,6 days ago
Pavan Kumar Soma,"Really a beautiful and mesmerizing place to spend your time with your loved ones. Every inch tells you one beautiful, technical n marvellous story. You should recruit a guide or do a proper research then enter to feel the efforts and brain …", 5 stars ,3 months ago
Vishal Goyal,As we all know that's the only wonder in our country so i must say this is awesome place..i have visited here. But there is one problem of water.. inside tazmahal there is no water arrangements so go inside with sufficient water storage for drinking purpose., 5 stars ,a week ago
andrea pacchierotti,"Might be a bit of cliche but this place is amazing... the white marble, the symmetry the masonry and precious stones work, the landscape... everything is astonishing and the whole atmosphere is surreal... only down point is for the crowd of tourist but I guess it’s what you pay to mainstream this kind of unique places.", 5 stars ,a month ago
Deepak Sharma,"Taj Mahal is close due to COVID-19. 
Five star rating is very less rating for this place. One of the seven wonders of the world Taj Mahal in india.Really a beautiful and mesmerizing place to spend your time with your loved ones.great piece …", 5 stars ,a week ago
Mike Maceda,"Absolutely stunning! As it came into view for the first time through the entrance, my breath was taken away and I couldn’t even bother to look through my phone screen for a photo.

Quick tip for a good photo - Try and line up the middle …", 5 stars ,3 months ago
Solomon Evans Veeravalli,"It was awesome and an amazing experience. When I was at +2, I visited this place and now I revisited the memorial of love  along with my better half. What an exquisite place of wonder! The symmetry in the structure and the intrinsic design …", 5 stars ,3 months ago
Harsha Rai,One of the seven wonders of the world. This place is just beautiful. One can spend hours sitting in the garden area and clicking n number of excellent pictures.I took this picture exactly 10 years ago. It still looks same., 5 stars ,2 weeks ago
MAHBUB's DREAM,"It was awesome and an amazing experience. When I was at +2, I visited this place and now I revisited the memorial of love  along with my better half. What an exquisite place of wonder! The symmetry in the structure and the intrinsic design …", 3 stars ,a month ago
Kumar SSK,Really amazing place. In lifetime one should  visit this place and enjoy the beautiful scenery here. You get plastic covers on the entrance that must be worn and a lot of local guides are here who will guide you here throughout whole area. Water before the entrance enhance the beauty of the place, 5 stars ,3 months ago
Gopinath Sahoo,It's a very beautiful  peaceful place .Everyone know it's history. The marbles are used in it are so unique and beautiful. The art and culture is here so fantastic. The volunteers are here so decataed. It can be clearly visible from …, 5 stars ,2 weeks ago
Ashutosh Anand,"Magnificent, architecture at its best. True symbol of love in its glory. A must visit for anyone who is around Delhi and North India.
Was dumbstruck by its gigantic size and area. The entire facility is maintained well with clean and …", 5 stars ,3 months ago
Virender Sharma,"Beautiful
It is definitely a must see in your lifetime. It's amazing how large it is and to think they hauled in the marble from miles away is baffling. Stop and notice the gem inlay work. The challenging part was dealing with the crowds. I …", 5 stars ,3 months ago
